tool		Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8
run set		btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-bounded.btor2	btor2-bounded.btor2	btor2-bounded.btor2	btor2-bounded.btor2	btor2-bounded.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-kind.btor2	btor2-kind.btor2	btor2-kind.btor2	btor2-kind.btor2	btor2-kind.btor2
word-level-hwmc-benchmarks/bv/btor2/		status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host
beem/adding.6.prop1-func-interl.yml	false	TIMEOUT	992.207957829	934.2089934770011	11330.117632	cloud-24443	ERROR (verification stuck, after parsing finished)	8.977779076	4.866273990999616	209.018880	cloud-24443	TIMEOUT	991.018801857	974.1986483340152	11181.666304	cloud-23939	TIMEOUT	990.705716593	969.059104459011	5513.326592	cloud-23944	TIMEOUT	990.474448808	978.2416078480019	2136.899584	cloud-24441
beem/anderson.1.prop1-back-serstep.yml	false	TIMEOUT	991.151479554	933.8291947750004	2697.736192	cloud-24444	ERROR (verification stuck, after parsing finished)	20.262258068	11.921916885999963	388.083712	cloud-24441	TIMEOUT	991.532303033	964.8387463660038	12466.233344	cloud-24643	TIMEOUT	991.094923045	970.498615269993	6048.120832	cloud-24444	TIMEOUT	990.494322249	982.0455489669985	3023.245312	cloud-24444
beem/anderson.1.prop1-func-interl.yml	false	TIMEOUT	990.387756829	899.8558389309983	1607.716864	cloud-24443	ERROR (verification stuck, after parsing finished)	37.746594159	23.044839520000096	398.192640	cloud-24643	TIMEOUT	964.096272434	937.2989903419802	15000.170496	cloud-23940	TIMEOUT	990.588496007	981.6902879069967	2662.744064	cloud-24643	TIMEOUT	990.610646252	983.9207449860005	3249.995776	cloud-24441
beem/anderson.2.prop1-back-serstep.yml	true	TIMEOUT	991.545996891	952.156931174999	8052.076544	cloud-24643	ERROR (verification stuck, after parsing finished)	35.953729707	22.241722894003033	417.546240	cloud-24444	TIMEOUT	991.749164136	944.191221277	14902.882304	cloud-24441	TIMEOUT	991.186624849	970.9870083870046	6369.222656	cloud-24441	TIMEOUT	990.855126921	979.462895536999	5251.637248	cloud-24643
beem/anderson.2.prop1-func-interl.yml	true	TIMEOUT	990.540670109	974.556593508998	2687.569920	cloud-24643	ERROR (verification stuck, after parsing finished)	47.403987147	32.106519827999364	485.801984	cloud-24441	OUT OF MEMORY	455.644862101	427.56457794999733	15000.055808	cloud-24643	TIMEOUT	990.990717049	970.1160841380006	6452.985856	cloud-24643	TIMEOUT	990.957534634	977.447773437998	6382.813184	cloud-24443
beem/anderson.3.prop1-back-serstep.yml	false	TIMEOUT	991.384355992	945.3457993859993	5246.918656	cloud-24441	ERROR (verification stuck, after parsing finished)	36.88715329	23.00974297799985	493.948928	cloud-24444	TIMEOUT	992.301694446	947.5264114570018	14685.425664	cloud-24643	TIMEOUT	990.965777621	976.7316889040012	4769.210368	cloud-24444	TIMEOUT	990.607369481	978.8475219499996	6937.169920	cloud-23940
beem/anderson.3.prop1-func-interl.yml	false	TIMEOUT	990.557657551	965.6293049139995	2723.336192	cloud-24441	ERROR (verification stuck, after parsing finished)	59.79576289	40.483038010999735	526.647296	cloud-24443	OUT OF MEMORY	804.297039448	769.0381353250123	15000.170496	cloud-23940	TIMEOUT	990.708609719	979.8808483979956	4246.614016	cloud-24444	TIMEOUT	990.798477896	977.6755003149992	6171.828224	cloud-24444
beem/anderson.4.prop1-back-serstep.yml	true	TIMEOUT	990.614245069	955.5346845219999	4926.853120	cloud-24441	ERROR (verification stuck, after parsing finished)	56.208258388	39.677786700999604	529.285120	cloud-24643	TIMEOUT	991.659181472	934.1075288240099	14365.331456	cloud-23939	TIMEOUT	990.480770868	979.1004355430002	3858.231296	cloud-24443	TIMEOUT	990.86367008	978.446770929997	6152.347648	cloud-24441
beem/anderson.4.prop1-func-interl.yml	true	TIMEOUT	990.784379255	946.7372298000046	2595.020800	cloud-24444	ERROR (verification stuck, after parsing finished)	73.248330735	52.37228274300287	621.056000	cloud-24441	TIMEOUT	991.74864564	938.6518468710128	14250.778624	cloud-23944	TIMEOUT	990.945437276	964.0205334019847	8904.065024	cloud-23943	TIMEOUT	990.795517914	981.0843588690041	6449.127424	cloud-23939
beem/anderson.5.prop1-back-serstep.yml	false	TIMEOUT	991.577214058	946.6730941749993	6015.926272	cloud-24443	ERROR (verification stuck, after parsing finished)	94.651168474	75.70255707800243	876.040192	cloud-24444	TIMEOUT	951.892821284	880.2587249499629	15000.170496	cloud-23941	TIMEOUT	991.313321755	971.136665844002	8947.699712	cloud-24643	TIMEOUT	991.479694997	970.8797503250025	10443.452416	cloud-24643
