input_type_btor2,run_name_btor2,properties_btor2,expected_verdict_btor2,status_btor2,cputime_btor2,walltime_btor2,memory_btor2,host_btor2,files_btor2,benchmark_id,input_type_c,run_name_c,properties_c,expected_verdict_c,status_c,cputime_c,walltime_c,memory_c,host_c,files_c,cpu_speedup,wall_speedup,memory_ratio
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.6.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,992.624112341,947.5034315470039,14708731904,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.6.prop1-back-serstep.btor2],adding.6.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.6.prop1-back-serstep.yml,unreach-call,false,OUT OF MEMORY,508.066194923,429.16084654299993,15000145920,cloud-23943,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.6.prop1-back-serstep.c],1.9537298924039557,2.2078049271721447,0.980572587923198
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.6.prop1-func-interl.yml,unreach-call,false,TIMEOUT,992.207957829,934.2089934770011,11330117632,cloud-24443,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.6.prop1-func-interl.btor2],adding.6.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.6.prop1-func-interl.yml,unreach-call,false,OUT OF MEMORY,627.946496444,595.942752856994,15000018944,cloud-24444,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.6.prop1-func-interl.c],1.5800835954142227,1.5676153271406246,0.7553402215223229
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.1.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,991.151479554,933.8291947750004,2697736192,cloud-24444,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.1.prop1-back-serstep.btor2],anderson.1.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.1.prop1-back-serstep.yml,unreach-call,false,false(unreach-call),191.166463662,175.90260107200083,1683288064,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.1.prop1-back-serstep.c],5.184756052748078,5.308785595460089,1.6026586593796461
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.1.prop1-func-interl.yml,unreach-call,false,TIMEOUT,990.387756829,899.8558389309983,1607716864,cloud-24443,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.1.prop1-func-interl.btor2],anderson.1.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.1.prop1-func-interl.yml,unreach-call,false,TIMEOUT,990.863142965,970.2885093590012,4581171200,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.1.prop1-func-interl.c],0.9995202302766278,0.9274105899960284,0.3509401403728374
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.2.prop1-back-serstep.yml,unreach-call,true,TIMEOUT,991.545996891,952.156931174999,8052076544,cloud-24643,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.2.prop1-back-serstep.btor2],anderson.2.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.2.prop1-back-serstep.yml,unreach-call,true,TIMEOUT,977.138066522,931.0910410789947,15000158208,cloud-23942,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.2.prop1-back-serstep.c],1.0147450302701675,1.022624951982775,0.5367994412022671
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.2.prop1-func-interl.yml,unreach-call,true,TIMEOUT,990.540670109,974.556593508998,2687569920,cloud-24643,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.2.prop1-func-interl.btor2],anderson.2.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.2.prop1-func-interl.yml,unreach-call,true,TIMEOUT,990.914776415,972.4395989989989,5380644864,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.2.prop1-func-interl.c],0.9996224636922324,1.002176993318843,0.49948844198612397
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.3.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,991.384355992,945.3457993859993,5246918656,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.3.prop1-back-serstep.btor2],anderson.3.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.3.prop1-back-serstep.yml,unreach-call,false,false(unreach-call),504.934747185,488.56793529100105,2720256000,cloud-24443,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.3.prop1-back-serstep.c],1.963391035215829,1.9349321375806867,1.928832674571805
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.3.prop1-func-interl.yml,unreach-call,false,TIMEOUT,990.557657551,965.6293049139995,2723336192,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.3.prop1-func-interl.btor2],anderson.3.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.3.prop1-func-interl.yml,unreach-call,false,TIMEOUT,990.609908876,972.3590366509998,3751407616,cloud-24643,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.3.prop1-func-interl.c],0.9999472533794264,0.9930789641651515,0.7259504886605209
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.4.prop1-back-serstep.yml,unreach-call,true,TIMEOUT,990.614245069,955.5346845219999,4926853120,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.4.prop1-back-serstep.btor2],anderson.4.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.4.prop1-back-serstep.yml,unreach-call,true,TIMEOUT,990.964282761,968.6256780680014,4891254784,cloud-24444,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.4.prop1-back-serstep.c],0.9996467706272675,0.986484981926029,1.0072779557745484
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.4.prop1-func-interl.yml,unreach-call,true,TIMEOUT,990.784379255,946.7372298000046,2595020800,cloud-24444,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.4.prop1-func-interl.btor2],anderson.4.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.4.prop1-func-interl.yml,unreach-call,true,TIMEOUT,990.775822412,968.2345413779999,4524036096,cloud-24444,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.4.prop1-func-interl.c],1.0000086365076806,0.9777974130654333,0.5736074480693091
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.5.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,991.577214058,946.6730941749993,6015926272,cloud-24443,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.5.prop1-back-serstep.btor2],anderson.5.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.5.prop1-back-serstep.yml,unreach-call,false,OUT OF MEMORY,853.09104082,740.8614373630262,15000154112,cloud-23942,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.5.prop1-back-serstep.c],1.1623345769812394,1.2778004717650384,0.40105763094709196
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.5.prop1-func-interl.yml,unreach-call,false,TIMEOUT,990.463291454,970.8337039919988,2833666048,cloud-24643,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.5.prop1-func-interl.btor2],anderson.5.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.5.prop1-func-interl.yml,unreach-call,false,TIMEOUT,991.033170676,964.9496010599996,6838566912,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.5.prop1-func-interl.c],0.9994249645331131,1.0060978344625828,0.41436547809857854
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.6.prop1-back-serstep.yml,unreach-call,true,TIMEOUT,991.396139373,931.4917767220002,6162292736,cloud-24443,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.6.prop1-back-serstep.btor2],anderson.6.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.6.prop1-back-serstep.yml,unreach-call,true,OUT OF MEMORY,734.352151552,614.6741173780028,15000154112,cloud-23942,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.6.prop1-back-serstep.c],1.3500282354695308,1.5154237837367173,0.4108152949622175
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.6.prop1-func-interl.yml,unreach-call,true,TIMEOUT,990.814872466,951.4405458789988,2553667584,cloud-24444,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.6.prop1-func-interl.btor2],anderson.6.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.6.prop1-func-interl.yml,unreach-call,true,TIMEOUT,990.935050568,966.8700091880019,5528985600,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.6.prop1-func-interl.c],0.9998787225238112,0.9840418430995073,0.46186909656628516
