Algorithm,XCFA_Metric,Resource_Metric,Correlation,P_Value,N,Significant
IMC_BTOR,Edges,CPU_Time_Seconds,,,37,False
IMC_BTOR,Edges,Memory_MB,,,37,False
IMC_BTOR,Atomic_Stmts,CPU_Time_Seconds,-0.23944588572264625,0.15347548335297898,37,False
IMC_BTOR,Atomic_Stmts,Memory_MB,0.25660520563487893,0.12525243348394946,37,False
IMC_BTOR,Iterations,CPU_Time_Seconds,,,37,False
IMC_BTOR,Iterations,Memory_MB,,,37,False
IMC_C,Vars,CPU_Time_Seconds,0.9774956476024136,0.004038891263610789,5,True
IMC_C,Vars,Memory_MB,0.16026764378428066,0.7968178626018805,5,False
IMC_C,Locs,CPU_Time_Seconds,,,5,False
IMC_C,Locs,Memory_MB,,,5,False
IMC_C,Edges,CPU_Time_Seconds,,,5,False
IMC_C,Edges,Memory_MB,,,5,False
IMC_C,Atomic_Stmts,CPU_Time_Seconds,0.9775668894955644,0.004019770885329173,5,True
IMC_C,Atomic_Stmts,Memory_MB,0.16135765706785424,0.7954480775677855,5,False
IMC_C,Iterations,CPU_Time_Seconds,,,5,False
IMC_C,Iterations,Memory_MB,,,5,False
KIND_BTOR,Vars,CPU_Time_Seconds,-0.24096201111138169,0.09534216868539185,49,False
KIND_BTOR,Vars,Memory_MB,0.5578913438640405,3.1170553296125064e-05,49,True
KIND_BTOR,Locs,CPU_Time_Seconds,-0.10638310432336523,0.4669038123158273,49,False
KIND_BTOR,Locs,Memory_MB,-0.18351909221432383,0.20686865108603986,49,False
KIND_BTOR,Edges,CPU_Time_Seconds,-0.1063831043233652,0.4669038123158273,49,False
KIND_BTOR,Edges,Memory_MB,-0.18351909221432386,0.20686865108603913,49,False
KIND_BTOR,Atomic_Stmts,CPU_Time_Seconds,-0.23110727917720839,0.11010941450459528,49,False
KIND_BTOR,Atomic_Stmts,Memory_MB,0.5467911303184628,4.80402855212174e-05,49,True
KIND_BTOR,Iterations,CPU_Time_Seconds,,,49,False
KIND_BTOR,Iterations,Memory_MB,,,49,False
KIND_C,Vars,CPU_Time_Seconds,0.9813354100613224,1.6028614504216697e-05,8,True
KIND_C,Vars,Memory_MB,0.9948998552073596,3.303884210093154e-07,8,True
KIND_C,Locs,CPU_Time_Seconds,,,8,False
KIND_C,Locs,Memory_MB,,,8,False
KIND_C,Edges,CPU_Time_Seconds,-0.23591531847316746,0.573797378876488,8,False
KIND_C,Edges,Memory_MB,-0.20973281203969651,0.6181309154542426,8,False
KIND_C,Atomic_Stmts,CPU_Time_Seconds,0.9821705462348815,1.3980686851779254e-05,8,True
KIND_C,Atomic_Stmts,Memory_MB,0.9957474966954086,1.9164073472300747e-07,8,True
KIND_C,Iterations,CPU_Time_Seconds,,,8,False
KIND_C,Iterations,Memory_MB,,,8,False
