Input Filename,Input Type,Algorithm,Iterations
brp2.4.prop3-func-interl.yml,BTOR2,BMC,7
brp2.5.prop1-back-serstep.yml,BTOR2,BMC,5
brp2.5.prop1-func-interl.yml,BTOR2,BMC,6
brp2.5.prop2-back-serstep.yml,BTOR2,BMC,6
brp2.5.prop2-func-interl.yml,BTOR2,BMC,6
brp2.5.prop3-back-serstep.yml,BTOR2,BMC,5
brp2.5.prop3-func-interl.yml,BTOR2,BMC,7
brp2.6.prop1-back-serstep.yml,BTOR2,BMC,5
brp2.6.prop1-func-interl.yml,BTOR2,BMC,7
brp2.6.prop2-back-serstep.yml,BTOR2,BMC,5
brp2.6.prop2-func-interl.yml,BTOR2,BMC,7
brp2.6.prop3-back-serstep.yml,BTOR2,BMC,5
brp2.6.prop3-func-interl.yml,BTOR2,BMC,7
cambridge.1.prop1-back-serstep.yml,BTOR2,BMC,4
cambridge.1.prop1-func-interl.yml,BTOR2,BMC,5
cambridge.1.prop2-back-serstep.yml,BTOR2,BMC,4
cambridge.1.prop2-func-interl.yml,BTOR2,BMC,5
cambridge.2.prop1-back-serstep.yml,BTOR2,BMC,4
cambridge.2.prop1-func-interl.yml,BTOR2,BMC,5
cambridge.2.prop2-back-serstep.yml,BTOR2,BMC,4
cambridge.2.prop2-func-interl.yml,BTOR2,BMC,5
cambridge.3.prop1-back-serstep.yml,BTOR2,BMC,4
cambridge.3.prop1-func-interl.yml,BTOR2,BMC,6
cambridge.3.prop2-back-serstep.yml,BTOR2,BMC,4
cambridge.3.prop2-func-interl.yml,BTOR2,BMC,6
cambridge.4.prop1-back-serstep.yml,BTOR2,BMC,4
cambridge.4.prop1-func-interl.yml,BTOR2,BMC,6
cambridge.4.prop2-back-serstep.yml,BTOR2,BMC,4
cambridge.4.prop2-func-interl.yml,BTOR2,BMC,5
cambridge.5.prop1-back-serstep.yml,BTOR2,BMC,4
cambridge.5.prop1-func-interl.yml,BTOR2,BMC,5
cambridge.5.prop2-back-serstep.yml,BTOR2,BMC,4
cambridge.5.prop2-func-interl.yml,BTOR2,BMC,5
cambridge.6.prop1-back-serstep.yml,BTOR2,BMC,4
cambridge.6.prop1-func-interl.yml,BTOR2,BMC,5
cambridge.6.prop2-back-serstep.yml,BTOR2,BMC,4
cambridge.6.prop2-func-interl.yml,BTOR2,BMC,5
cambridge.7.prop1-back-serstep.yml,BTOR2,BMC,3
cambridge.7.prop1-func-interl.yml,BTOR2,BMC,5
cambridge.7.prop2-back-serstep.yml,BTOR2,BMC,3
cambridge.7.prop2-func-interl.yml,BTOR2,BMC,5
collision.1.prop1-back-serstep.yml,BTOR2,BMC,5
collision.1.prop1-func-interl.yml,BTOR2,BMC,7
collision.2.prop1-back-serstep.yml,BTOR2,BMC,6
collision.2.prop1-func-interl.yml,BTOR2,BMC,7
collision.3.prop1-back-serstep.yml,BTOR2,BMC,5
collision.3.prop1-func-interl.yml,BTOR2,BMC,6
collision.4.prop1-back-serstep.yml,BTOR2,BMC,4
collision.4.prop1-func-interl.yml,BTOR2,BMC,6
collision.5.prop1-back-serstep.yml,BTOR2,BMC,4
collision.5.prop1-func-interl.yml,BTOR2,BMC,5
collision.6.prop1-back-serstep.yml,BTOR2,BMC,4
collision.6.prop1-func-interl.yml,BTOR2,BMC,5
count2.yml,BTOR2,BMC,9
count4.yml,BTOR2,BMC,17
cyclic_scheduler.1.prop1-back-serstep.yml,BTOR2,BMC,5
cyclic_scheduler.1.prop1-func-interl.yml,BTOR2,BMC,6
cyclic_scheduler.2.prop1-back-serstep.yml,BTOR2,BMC,6
cyclic_scheduler.2.prop1-func-interl.yml,BTOR2,BMC,7
cyclic_scheduler.3.prop1-back-serstep.yml,BTOR2,BMC,4
cyclic_scheduler.3.prop1-func-interl.yml,BTOR2,BMC,6
cyclic_scheduler.4.prop1-back-serstep.yml,BTOR2,BMC,5
cyclic_scheduler.4.prop1-func-interl.yml,BTOR2,BMC,6
driving_phils.1.prop1-back-serstep.yml,BTOR2,BMC,3
driving_phils.1.prop1-func-interl.yml,BTOR2,BMC,2
driving_phils.2.prop1-back-serstep.yml,BTOR2,BMC,3
driving_phils.2.prop1-func-interl.yml,BTOR2,BMC,2
driving_phils.3.prop1-back-serstep.yml,BTOR2,BMC,3
driving_phils.3.prop1-func-interl.yml,BTOR2,BMC,2
driving_phils.4.prop1-back-serstep.yml,BTOR2,BMC,3
driving_phils.4.prop1-func-interl.yml,BTOR2,BMC,2
driving_phils.5.prop1-back-serstep.yml,BTOR2,BMC,3
driving_phils.5.prop1-func-interl.yml,BTOR2,BMC,2
elevator.1.prop1-back-serstep.yml,BTOR2,BMC,5
elevator.1.prop1-func-interl.yml,BTOR2,BMC,7
elevator.2.prop1-back-serstep.yml,BTOR2,BMC,5
elevator.2.prop1-func-interl.yml,BTOR2,BMC,7
elevator.3.prop1-back-serstep.yml,BTOR2,BMC,5
elevator.3.prop1-func-interl.yml,BTOR2,BMC,6
elevator.4.prop1-back-serstep.yml,BTOR2,BMC,5
elevator.4.prop1-func-interl.yml,BTOR2,BMC,6
elevator.5.prop1-back-serstep.yml,BTOR2,BMC,4
elevator.5.prop1-func-interl.yml,BTOR2,BMC,5
elevator_planning.1.prop1-back-serstep.yml,BTOR2,BMC,7
elevator_planning.1.prop1-func-interl.yml,BTOR2,BMC,11
elevator_planning.2.prop1-back-serstep.yml,BTOR2,BMC,5
elevator_planning.2.prop1-func-interl.yml,BTOR2,BMC,9
elevator_planning.3.prop1-back-serstep.yml,BTOR2,BMC,7
elevator_planning.3.prop1-func-interl.yml,BTOR2,BMC,11
exit.1.prop1-back-serstep.yml,BTOR2,BMC,6
exit.1.prop1-func-interl.yml,BTOR2,BMC,7
exit.2.prop1-back-serstep.yml,BTOR2,BMC,5
