Filename,Input Type,CPU Time,Memory
lifts.3.prop1-back-serstep.yml,BTOR2,22.442769804s,1056894976B
lifts.3.prop1-func-interl.yml,BTOR2,27.937665278s,672514048B
lifts.4.prop1-back-serstep.yml,BTOR2,33.925813695s,841412608B
lifts.4.prop1-func-interl.yml,BTOR2,15.021855505s,1076854784B
lifts.5.prop1-back-serstep.yml,BTOR2,22.534376438s,784814080B
lifts.5.prop1-func-interl.yml,BTOR2,22.286932821s,892514304B
lifts.6.prop1-back-serstep.yml,BTOR2,32.944114336s,1094361088B
lifts.6.prop1-func-interl.yml,BTOR2,15.232337936s,892264448B
lifts.7.prop1-back-serstep.yml,BTOR2,55.332141381s,775180288B
lifts.7.prop1-func-interl.yml,BTOR2,23.620295177s,1119707136B
lifts.8.prop1-back-serstep.yml,BTOR2,25.978105379s,1092530176B
lifts.8.prop1-func-interl.yml,BTOR2,21.536815477s,1191383040B
loyd.1.prop1-back-serstep.yml,BTOR2,6.894355589s,189440000B
loyd.1.prop1-func-interl.yml,BTOR2,3.935141544s,146350080B
loyd.2.prop1-back-serstep.yml,BTOR2,5.077867363s,208097280B
loyd.2.prop1-func-interl.yml,BTOR2,7.824677371s,199143424B
loyd.3.prop1-back-serstep.yml,BTOR2,7.884999852s,191836160B
loyd.3.prop1-func-interl.yml,BTOR2,5.332899191s,197165056B
lup.1.prop1-back-serstep.yml,BTOR2,6.480570982s,248598528B
lup.1.prop1-func-interl.yml,BTOR2,6.003459528s,229433344B
lup.2.prop1-back-serstep.yml,BTOR2,18.68981225s,484630528B
lup.2.prop1-func-interl.yml,BTOR2,14.458937203s,390926336B
lup.3.prop1-back-serstep.yml,BTOR2,11.838012414s,518176768B
lup.3.prop1-func-interl.yml,BTOR2,8.061186153s,349405184B
lup.4.prop1-back-serstep.yml,BTOR2,19.960778248s,523571200B
lup.4.prop1-func-interl.yml,BTOR2,8.492720826s,467615744B
mcs.1.prop1-back-serstep.yml,BTOR2,5.09424975s,229715968B
mcs.1.prop1-func-interl.yml,BTOR2,9.0774987s,203386880B
mcs.2.prop1-back-serstep.yml,BTOR2,6.28834447s,211054592B
mcs.2.prop1-func-interl.yml,BTOR2,5.544975808s,202305536B
mcs.3.prop1-back-serstep.yml,BTOR2,12.413344021s,271753216B
mcs.3.prop1-func-interl.yml,BTOR2,6.23611818s,255225856B
mcs.4.prop1-back-serstep.yml,BTOR2,8.617073285s,286978048B
mcs.4.prop1-func-interl.yml,BTOR2,10.133726286s,268926976B
mcs.5.prop1-back-serstep.yml,BTOR2,7.162682808s,343973888B
mcs.5.prop1-func-interl.yml,BTOR2,10.6049607s,416636928B
mcs.6.prop1-back-serstep.yml,BTOR2,14.7812127s,331587584B
mcs.6.prop1-func-interl.yml,BTOR2,10.695364949s,281309184B
msmie.1.prop1-back-serstep.yml,BTOR2,9.782541357s,312479744B
msmie.1.prop1-func-interl.yml,BTOR2,8.409128961s,320638976B
msmie.2.prop1-back-serstep.yml,BTOR2,24.241755946s,590024704B
msmie.2.prop1-func-interl.yml,BTOR2,8.827022253s,615948288B
msmie.3.prop1-back-serstep.yml,BTOR2,30.270868015s,751443968B
msmie.3.prop1-func-interl.yml,BTOR2,22.864733947s,775065600B
msmie.4.prop1-back-serstep.yml,BTOR2,64.023398252s,982102016B
msmie.4.prop1-func-interl.yml,BTOR2,53.568187588s,1038381056B
needham.1.prop1-back-serstep.yml,BTOR2,6.826782933s,235245568B
needham.1.prop1-func-interl.yml,BTOR2,9.72971253s,256360448B
needham.1.prop2-back-serstep.yml,BTOR2,7.042455266s,229441536B
needham.1.prop2-func-interl.yml,BTOR2,6.913029449s,234835968B
needham.1.prop3-back-serstep.yml,BTOR2,7.458520953s,242311168B
needham.1.prop3-func-interl.yml,BTOR2,6.584703008s,229666816B
needham.1.prop4-back-serstep.yml,BTOR2,5.858761062s,249364480B
needham.1.prop4-func-interl.yml,BTOR2,5.153170981s,239124480B
needham.2.prop1-back-serstep.yml,BTOR2,10.423374497s,418742272B
needham.2.prop1-func-interl.yml,BTOR2,9.508544089s,374968320B
needham.2.prop2-back-serstep.yml,BTOR2,13.468688358s,351617024B
needham.2.prop2-func-interl.yml,BTOR2,13.635464787s,350883840B
needham.2.prop3-back-serstep.yml,BTOR2,8.110306088s,468377600B
needham.2.prop3-func-interl.yml,BTOR2,8.957943139s,416133120B
needham.2.prop4-back-serstep.yml,BTOR2,14.289692173s,478142464B
needham.2.prop4-func-interl.yml,BTOR2,8.96067087s,423878656B
needham.3.prop1-back-serstep.yml,BTOR2,11.751969524s,317468672B
needham.3.prop1-func-interl.yml,BTOR2,7.931261835s,382943232B
needham.3.prop2-back-serstep.yml,BTOR2,10.901444742s,356597760B
needham.3.prop2-func-interl.yml,BTOR2,10.870548954s,362307584B
needham.3.prop3-back-serstep.yml,BTOR2,18.204504771s,357773312B
needham.3.prop3-func-interl.yml,BTOR2,12.553892414s,389812224B
needham.3.prop4-back-serstep.yml,BTOR2,15.319174035s,377548800B
needham.3.prop4-func-interl.yml,BTOR2,16.441922592s,350035968B
needham.4.prop1-back-serstep.yml,BTOR2,19.635855382s,559472640B
needham.4.prop1-func-interl.yml,BTOR2,9.926312481s,539086848B
needham.4.prop2-back-serstep.yml,BTOR2,11.431518773s,552607744B
needham.4.prop2-func-interl.yml,BTOR2,10.749753719s,492515328B
needham.4.prop3-back-serstep.yml,BTOR2,10.381856241s,524226560B
needham.4.prop3-func-interl.yml,BTOR2,11.879469389s,486002688B
needham.4.prop4-back-serstep.yml,BTOR2,18.969044829s,429318144B
needham.4.prop4-func-interl.yml,BTOR2,11.667369405s,616550400B
peg_solitaire.1.prop1-back-serstep.yml,BTOR2,11.981743907s,231792640B
peg_solitaire.1.prop1-func-interl.yml,BTOR2,8.36011857s,211619840B
peg_solitaire.2.prop1-back-serstep.yml,BTOR2,15.398747341s,789458944B
peg_solitaire.2.prop1-func-interl.yml,BTOR2,12.965119061s,596090880B
peg_solitaire.3.prop1-back-serstep.yml,BTOR2,20.897304551s,1254137856B
peg_solitaire.3.prop1-func-interl.yml,BTOR2,29.432193951s,645636096B
peg_solitaire.4.prop1-back-serstep.yml,BTOR2,6.886578691s,450777088B
peg_solitaire.4.prop1-func-interl.yml,BTOR2,7.165925238s,255533056B
peg_solitaire.5.prop1-back-serstep.yml,BTOR2,26.206282929s,562876416B
peg_solitaire.5.prop1-func-interl.yml,BTOR2,16.646440169s,519700480B
peg_solitaire.6.prop1-back-serstep.yml,BTOR2,16.346877144s,534532096B
peg_solitaire.6.prop1-func-interl.yml,BTOR2,15.686715463s,440406016B
peterson.1.prop1-back-serstep.yml,BTOR2,8.169089502s,191369216B
peterson.1.prop1-func-interl.yml,BTOR2,7.387416013s,203841536B
peterson.2.prop1-back-serstep.yml,BTOR2,4.449338582s,221933568B
peterson.2.prop1-func-interl.yml,BTOR2,6.900307815s,195518464B
peterson.3.prop1-back-serstep.yml,BTOR2,6.071586205s,225599488B
peterson.3.prop1-func-interl.yml,BTOR2,7.198210212s,187031552B
peterson.4.prop1-back-serstep.yml,BTOR2,9.318847667s,204099584B
peterson.4.prop1-func-interl.yml,BTOR2,4.707905448s,205819904B
peterson.5.prop1-back-serstep.yml,BTOR2,5.302422374s,213688320B
peterson.5.prop1-func-interl.yml,BTOR2,8.005133686s,221151232B
peterson.6.prop1-back-serstep.yml,BTOR2,5.425210804s,214200320B
peterson.6.prop1-func-interl.yml,BTOR2,4.749202982s,221650944B
peterson.7.prop1-back-serstep.yml,BTOR2,6.03590021s,307490816B
peterson.7.prop1-func-interl.yml,BTOR2,5.087940228s,255176704B
pgm_protocol.1.prop1-back-serstep.yml,BTOR2,25.190828675s,1170100224B
pgm_protocol.1.prop1-func-interl.yml,BTOR2,21.295488058s,860209152B
pgm_protocol.1.prop2-back-serstep.yml,BTOR2,41.63583451s,769114112B
pgm_protocol.1.prop2-func-interl.yml,BTOR2,17.174903295s,1154826240B
pgm_protocol.1.prop5-back-serstep.yml,BTOR2,24.682770169s,915849216B
pgm_protocol.1.prop5-func-interl.yml,BTOR2,34.543712665s,715943936B
pgm_protocol.1.prop6-back-serstep.yml,BTOR2,42.146989825s,874991616B
pgm_protocol.1.prop6-func-interl.yml,BTOR2,28.615532025s,648314880B
pgm_protocol.2.prop1-back-serstep.yml,BTOR2,20.432210975s,1168412672B
pgm_protocol.2.prop1-func-interl.yml,BTOR2,27.986566593s,726786048B
pgm_protocol.2.prop2-back-serstep.yml,BTOR2,25.086122151s,1057116160B
pgm_protocol.2.prop2-func-interl.yml,BTOR2,18.427493644s,884092928B
pgm_protocol.2.prop5-back-serstep.yml,BTOR2,21.9098368s,1100161024B
pgm_protocol.2.prop5-func-interl.yml,BTOR2,27.825141822s,740986880B
pgm_protocol.2.prop6-back-serstep.yml,BTOR2,44.206741717s,753586176B
pgm_protocol.2.prop6-func-interl.yml,BTOR2,30.902316128s,849379328B
pgm_protocol.3.prop1-back-serstep.yml,BTOR2,41.981134334s,679161856B
pgm_protocol.3.prop1-func-interl.yml,BTOR2,19.553729533s,1068830720B
pgm_protocol.3.prop2-back-serstep.yml,BTOR2,25.607850167s,931889152B
pgm_protocol.3.prop2-func-interl.yml,BTOR2,21.371680013s,1021403136B
pgm_protocol.3.prop5-back-serstep.yml,BTOR2,21.220859378s,1156661248B
pgm_protocol.3.prop5-func-interl.yml,BTOR2,21.876782215s,1037111296B
pgm_protocol.3.prop6-back-serstep.yml,BTOR2,21.453081515s,1160069120B
pgm_protocol.3.prop6-func-interl.yml,BTOR2,19.004867501s,840835072B
pgm_protocol.4.prop1-back-serstep.yml,BTOR2,26.102954611s,857477120B
pgm_protocol.4.prop1-func-interl.yml,BTOR2,21.804023352s,985575424B
pgm_protocol.4.prop2-back-serstep.yml,BTOR2,27.759325785s,1087471616B
pgm_protocol.4.prop2-func-interl.yml,BTOR2,32.968679605s,740179968B
pgm_protocol.4.prop5-back-serstep.yml,BTOR2,41.459113907s,704647168B
pgm_protocol.4.prop5-func-interl.yml,BTOR2,20.781023491s,1020407808B
pgm_protocol.4.prop6-back-serstep.yml,BTOR2,37.932721234s,791457792B
pgm_protocol.4.prop6-func-interl.yml,BTOR2,29.621947636s,656146432B
pgm_protocol.5.prop1-back-serstep.yml,BTOR2,26.654446542s,924368896B
pgm_protocol.5.prop1-func-interl.yml,BTOR2,32.351208503s,784093184B
pgm_protocol.5.prop2-back-serstep.yml,BTOR2,37.585698277s,823193600B
pgm_protocol.5.prop2-func-interl.yml,BTOR2,17.897003751s,1084645376B
pgm_protocol.5.prop5-back-serstep.yml,BTOR2,40.260697549s,791556096B
pgm_protocol.5.prop5-func-interl.yml,BTOR2,35.245852101s,698830848B
pgm_protocol.5.prop6-back-serstep.yml,BTOR2,46.021360093s,854106112B
pgm_protocol.5.prop6-func-interl.yml,BTOR2,21.74360805s,983830528B
pgm_protocol.6.prop1-back-serstep.yml,BTOR2,21.699882365s,1057808384B
pgm_protocol.6.prop1-func-interl.yml,BTOR2,30.749449423s,734433280B
pgm_protocol.6.prop2-back-serstep.yml,BTOR2,22.036394292s,1143840768B
pgm_protocol.6.prop2-func-interl.yml,BTOR2,18.050277629s,1096597504B
pgm_protocol.6.prop5-back-serstep.yml,BTOR2,22.008615553s,1132535808B
pgm_protocol.6.prop5-func-interl.yml,BTOR2,18.010402705s,1019863040B
pgm_protocol.6.prop6-back-serstep.yml,BTOR2,26.549144991s,921341952B
pgm_protocol.6.prop6-func-interl.yml,BTOR2,22.486443347s,771760128B
pgm_protocol.7.prop1-back-serstep.yml,BTOR2,23.682305133s,1011404800B
pgm_protocol.7.prop1-func-interl.yml,BTOR2,30.807579714s,671354880B
pgm_protocol.7.prop2-back-serstep.yml,BTOR2,24.636324353s,918437888B
pgm_protocol.7.prop2-func-interl.yml,BTOR2,20.918299693s,777428992B
pgm_protocol.7.prop5-back-serstep.yml,BTOR2,21.286469693s,1223467008B
pgm_protocol.7.prop5-func-interl.yml,BTOR2,31.219246249s,645812224B
pgm_protocol.7.prop6-back-serstep.yml,BTOR2,39.70444131s,812556288B
pgm_protocol.7.prop6-func-interl.yml,BTOR2,19.830530661s,942870528B
pgm_protocol.8.prop1-back-serstep.yml,BTOR2,44.391872696s,750030848B
pgm_protocol.8.prop1-func-interl.yml,BTOR2,18.507086831s,1085509632B
pgm_protocol.8.prop2-back-serstep.yml,BTOR2,23.086523388s,1222819840B
pgm_protocol.8.prop2-func-interl.yml,BTOR2,31.830389767s,916619264B
pgm_protocol.8.prop5-back-serstep.yml,BTOR2,27.089215582s,1017282560B
pgm_protocol.8.prop5-func-interl.yml,BTOR2,23.898921416s,992030720B
pgm_protocol.8.prop6-back-serstep.yml,BTOR2,21.270621532s,1063698432B
pgm_protocol.8.prop6-func-interl.yml,BTOR2,20.903893393s,846168064B
plc.1.prop2-back-serstep.yml,BTOR2,33.47935283s,1096007680B
plc.1.prop2-func-interl.yml,BTOR2,30.946545935s,615104512B
plc.2.prop2-back-serstep.yml,BTOR2,47.897228377s,1018531840B
plc.2.prop2-func-interl.yml,BTOR2,20.970822471s,988934144B
plc.3.prop2-back-serstep.yml,BTOR2,28.205196303s,1399230464B
plc.3.prop2-func-interl.yml,BTOR2,22.124944018s,1038966784B
plc.4.prop2-back-serstep.yml,BTOR2,28.603479721s,1139544064B
plc.4.prop2-func-interl.yml,BTOR2,18.47853484s,1218670592B
pouring.2.prop1-back-serstep.yml,BTOR2,174.402367117s,1730248704B
production_cell.1.prop1-back-serstep.yml,BTOR2,5.362910339s,190365696B
production_cell.1.prop1-func-interl.yml,BTOR2,6.205227058s,203198464B
production_cell.2.prop1-back-serstep.yml,BTOR2,5.1164006s,206364672B
production_cell.2.prop1-func-interl.yml,BTOR2,4.356735477s,187326464B
production_cell.3.prop1-back-serstep.yml,BTOR2,6.654709541s,236433408B
production_cell.3.prop1-func-interl.yml,BTOR2,6.244950042s,236920832B
production_cell.4.prop1-back-serstep.yml,BTOR2,12.525778052s,251928576B
production_cell.4.prop1-func-interl.yml,BTOR2,9.905712857s,202960896B
production_cell.5.prop1-back-serstep.yml,BTOR2,12.874120403s,342491136B
production_cell.5.prop1-func-interl.yml,BTOR2,9.557251985s,286846976B
production_cell.6.prop1-back-serstep.yml,BTOR2,13.920748474s,332328960B
production_cell.6.prop1-func-interl.yml,BTOR2,7.243295668s,435609600B
protocols.1.prop1-back-serstep.yml,BTOR2,7.107411937s,182652928B
protocols.1.prop1-func-interl.yml,BTOR2,6.420959079s,148078592B
protocols.2.prop1-back-serstep.yml,BTOR2,4.839189513s,152621056B
protocols.2.prop1-func-interl.yml,BTOR2,6.224391622s,148004864B
protocols.3.prop1-back-serstep.yml,BTOR2,8.080731078s,196526080B
protocols.3.prop1-func-interl.yml,BTOR2,4.576420405s,167170048B
protocols.4.prop1-back-serstep.yml,BTOR2,6.892824259s,196673536B
protocols.4.prop1-func-interl.yml,BTOR2,5.141737884s,182063104B
protocols.5.prop1-back-serstep.yml,BTOR2,4.996551337s,220975104B
protocols.5.prop1-func-interl.yml,BTOR2,6.691277759s,155144192B
reader_writer.1.prop1-back-serstep.yml,BTOR2,11.101183163s,276443136B
reader_writer.1.prop1-func-interl.yml,BTOR2,5.683665592s,257671168B
reader_writer.2.prop1-back-serstep.yml,BTOR2,20.477626497s,411754496B
reader_writer.2.prop1-func-interl.yml,BTOR2,11.658972608s,378957824B
reader_writer.3.prop1-back-serstep.yml,BTOR2,18.807013581s,367022080B
reader_writer.3.prop1-func-interl.yml,BTOR2,14.460641189s,419135488B
resistance.1.prop1-back-serstep.yml,BTOR2,8.750589396s,193003520B
resistance.1.prop1-func-interl.yml,BTOR2,4.693763827s,186716160B
resistance.1.prop2-back-serstep.yml,BTOR2,5.478769223s,197464064B
resistance.1.prop2-func-interl.yml,BTOR2,6.983032553s,188993536B
resistance.1.prop3-back-serstep.yml,BTOR2,5.570402622s,196141056B
resistance.1.prop3-func-interl.yml,BTOR2,7.45027238s,186970112B
resistance.2.prop1-back-serstep.yml,BTOR2,5.841652356s,201367552B
resistance.2.prop1-func-interl.yml,BTOR2,7.708481367s,188530688B
resistance.2.prop2-back-serstep.yml,BTOR2,9.123565287s,203223040B
resistance.2.prop2-func-interl.yml,BTOR2,9.553112835s,186834944B
resistance.2.prop3-back-serstep.yml,BTOR2,8.450588995s,212914176B
resistance.2.prop3-func-interl.yml,BTOR2,8.413298293s,204779520B
rether.1.prop1-back-serstep.yml,BTOR2,15.686856765s,278392832B
rether.1.prop1-func-interl.yml,BTOR2,10.142533197s,267509760B
rether.2.prop1-back-serstep.yml,BTOR2,7.711096693s,455782400B
rether.2.prop1-func-interl.yml,BTOR2,8.410940197s,322355200B
rether.3.prop1-back-serstep.yml,BTOR2,11.793294161s,822435840B
rether.3.prop1-func-interl.yml,BTOR2,9.942268311s,617705472B
rether.4.prop1-back-serstep.yml,BTOR2,23.898009412s,601518080B
rether.4.prop1-func-interl.yml,BTOR2,13.068665066s,573530112B
rether.5.prop1-back-serstep.yml,BTOR2,17.004563243s,1042567168B
rether.5.prop1-func-interl.yml,BTOR2,18.635671169s,798863360B
rether.6.prop1-back-serstep.yml,BTOR2,21.300298146s,1095868416B
rether.6.prop1-func-interl.yml,BTOR2,24.800247719s,690139136B
rether.7.prop1-back-serstep.yml,BTOR2,25.847390123s,918872064B
rether.7.prop1-func-interl.yml,BTOR2,27.070449573s,781873152B
rushhour.1.prop1-back-serstep.yml,BTOR2,26.349752113s,1091510272B
rushhour.1.prop1-func-interl.yml,BTOR2,24.012651794s,972918784B
rushhour.2.prop1-back-serstep.yml,BTOR2,32.915769218s,1100148736B
rushhour.2.prop1-func-interl.yml,BTOR2,29.950323368s,1217974272B
rushhour.3.prop1-back-serstep.yml,BTOR2,187.173004112s,1304965120B
rushhour.3.prop1-func-interl.yml,BTOR2,183.245035075s,1473941504B
rushhour.4.prop1-back-serstep.yml,BTOR2,199.760101189s,1215315968B
rushhour.4.prop1-func-interl.yml,BTOR2,111.93396191s,1367953408B
schedule_world.1.prop1-back-serstep.yml,BTOR2,7.548125854s,187756544B
schedule_world.1.prop1-func-interl.yml,BTOR2,7.075438941s,187248640B
schedule_world.2.prop1-back-serstep.yml,BTOR2,7.472675341s,203440128B
schedule_world.2.prop1-func-interl.yml,BTOR2,4.717891437s,246222848B
schedule_world.3.prop1-back-serstep.yml,BTOR2,5.74089833s,292392960B
schedule_world.3.prop1-func-interl.yml,BTOR2,6.155988466s,254476288B
sokoban.1.prop1-back-serstep.yml,BTOR2,15.748113821s,969461760B
sokoban.1.prop1-func-interl.yml,BTOR2,19.855832176s,507142144B
sokoban.2.prop1-back-serstep.yml,BTOR2,26.825407545s,792494080B
sokoban.2.prop1-func-interl.yml,BTOR2,20.919759763s,549380096B
sokoban.3.prop1-back-serstep.yml,BTOR2,107.368757363s,1593962496B
sokoban.3.prop1-func-interl.yml,BTOR2,69.381704019s,1408974848B
synapse.1.prop1-back-serstep.yml,BTOR2,25.532417738s,506171392B
synapse.1.prop1-func-interl.yml,BTOR2,13.50291165s,584175616B
synapse.2.prop1-back-serstep.yml,BTOR2,31.738059401s,562753536B
synapse.2.prop1-func-interl.yml,BTOR2,14.249125918s,612093952B
synapse.3.prop1-back-serstep.yml,BTOR2,15.914663211s,946606080B
synapse.3.prop1-func-interl.yml,BTOR2,23.648644396s,695156736B
synapse.4.prop1-back-serstep.yml,BTOR2,23.155868693s,816619520B
synapse.4.prop1-func-interl.yml,BTOR2,19.887682435s,1020121088B
synapse.5.prop1-back-serstep.yml,BTOR2,17.439380912s,894058496B
synapse.5.prop1-func-interl.yml,BTOR2,27.857546249s,728735744B
synapse.6.prop1-back-serstep.yml,BTOR2,22.847046457s,1070346240B
synapse.6.prop1-func-interl.yml,BTOR2,29.089746861s,927203328B
synapse.7.prop1-back-serstep.yml,BTOR2,21.279375563s,929193984B
synapse.7.prop1-func-interl.yml,BTOR2,18.756026494s,1036869632B
szymanski.1.prop1-back-serstep.yml,BTOR2,10.271746616s,452059136B
szymanski.1.prop1-func-interl.yml,BTOR2,7.590271318s,251314176B
szymanski.2.prop1-back-serstep.yml,BTOR2,12.269503364s,396140544B
szymanski.2.prop1-func-interl.yml,BTOR2,7.798053538s,264228864B
szymanski.3.prop1-back-serstep.yml,BTOR2,12.176206221s,441769984B
szymanski.3.prop1-func-interl.yml,BTOR2,10.121482438s,472924160B
szymanski.4.prop1-back-serstep.yml,BTOR2,20.082970133s,418697216B
szymanski.4.prop1-func-interl.yml,BTOR2,13.952951612s,408436736B
szymanski.5.prop1-back-serstep.yml,BTOR2,28.333345099s,424427520B
szymanski.5.prop1-func-interl.yml,BTOR2,8.387218571s,559325184B
telephony.1.prop1-back-serstep.yml,BTOR2,5.528835328s,283549696B
telephony.1.prop1-func-interl.yml,BTOR2,10.218594453s,255373312B
telephony.2.prop1-back-serstep.yml,BTOR2,7.809989837s,383995904B
telephony.2.prop1-func-interl.yml,BTOR2,13.984507126s,367710208B
telephony.3.prop1-back-serstep.yml,BTOR2,16.751775816s,365690880B
telephony.3.prop1-func-interl.yml,BTOR2,12.704019282s,377085952B
telephony.4.prop1-back-serstep.yml,BTOR2,12.199836716s,494571520B
telephony.4.prop1-func-interl.yml,BTOR2,16.953371772s,439623680B
telephony.5.prop1-back-serstep.yml,BTOR2,15.275824235s,669343744B
telephony.5.prop1-func-interl.yml,BTOR2,9.738205897s,754376704B
telephony.6.prop1-back-serstep.yml,BTOR2,10.798251664s,578838528B
telephony.6.prop1-func-interl.yml,BTOR2,17.335651847s,452440064B
telephony.7.prop1-back-serstep.yml,BTOR2,19.146289663s,494321664B
telephony.7.prop1-func-interl.yml,BTOR2,13.100926933s,434397184B
telephony.8.prop1-back-serstep.yml,BTOR2,26.334693384s,601260032B
telephony.8.prop1-func-interl.yml,BTOR2,19.599597087s,501780480B
train-gate.1.prop1-back-serstep.yml,BTOR2,6.034647869s,232603648B
train-gate.1.prop1-func-interl.yml,BTOR2,8.073902991s,187523072B
train-gate.2.prop1-back-serstep.yml,BTOR2,6.36769168s,262500352B
train-gate.2.prop1-func-interl.yml,BTOR2,9.438084763s,231038976B
train-gate.3.prop1-back-serstep.yml,BTOR2,6.927860464s,287813632B
train-gate.3.prop1-func-interl.yml,BTOR2,6.733650414s,272191488B
train-gate.4.prop1-back-serstep.yml,BTOR2,12.722908193s,402587648B
train-gate.4.prop1-func-interl.yml,BTOR2,7.369456536s,337522688B
train-gate.5.prop1-back-serstep.yml,BTOR2,17.352473203s,384507904B
train-gate.5.prop1-func-interl.yml,BTOR2,9.347846534s,280174592B
train-gate.6.prop1-back-serstep.yml,BTOR2,9.665639783s,304152576B
train-gate.6.prop1-func-interl.yml,BTOR2,14.768024597s,426156032B
train-gate.7.prop1-back-serstep.yml,BTOR2,11.07254232s,413433856B
train-gate.7.prop1-func-interl.yml,BTOR2,7.21176175s,451747840B
count2.yml,BTOR2,4.041723881s,89174016B
count4.yml,BTOR2,2.507085614s,90099712B
factorial4even.yml,BTOR2,3.194251188s,90091520B
recount4.yml,BTOR2,3.713606052s,89673728B
twocount2.yml,BTOR2,3.409444663s,90562560B
twocount32.yml,BTOR2,4.721833011s,91799552B
Huffman_dec.yml,BTOR2,3.53460822s,154877952B
Huffman_enc.yml,BTOR2,3.519542203s,111030272B
stack-p1.yml,BTOR2,12.160676595s,669913088B
stack-p2.yml,BTOR2,19.116196355s,609525760B
adding.1.prop1-back-serstep.yml,C,8.910231283s,215474176B
adding.1.prop1-func-interl.yml,C,6.82182502s,208629760B
adding.2.prop1-back-serstep.yml,C,11.0362579s,198742016B
adding.2.prop1-func-interl.yml,C,6.415357237s,197726208B
adding.3.prop1-back-serstep.yml,C,6.551235062s,254607360B
adding.3.prop1-func-interl.yml,C,7.582915491s,208289792B
adding.4.prop1-back-serstep.yml,C,7.978384832s,218218496B
adding.4.prop1-func-interl.yml,C,14.002408395s,200040448B
adding.5.prop1-back-serstep.yml,C,8.252608386s,201928704B
adding.5.prop1-func-interl.yml,C,6.058018898s,218099712B
adding.6.prop1-back-serstep.yml,C,12.687493804s,198828032B
adding.6.prop1-func-interl.yml,C,7.273268733s,200810496B
anderson.1.prop1-back-serstep.yml,C,15.669661782s,275578880B
anderson.1.prop1-func-interl.yml,C,13.242893664s,316051456B
anderson.2.prop1-back-serstep.yml,C,22.483082787s,373940224B
anderson.2.prop1-func-interl.yml,C,19.250981846s,386088960B
anderson.3.prop1-back-serstep.yml,C,21.482111493s,375443456B
anderson.3.prop1-func-interl.yml,C,14.106237173s,426545152B
anderson.4.prop1-back-serstep.yml,C,15.671114586s,564457472B
anderson.4.prop1-func-interl.yml,C,18.881320537s,531017728B
anderson.5.prop1-back-serstep.yml,C,59.84741628s,557002752B
anderson.5.prop1-func-interl.yml,C,20.513038884s,668459008B
anderson.6.prop1-back-serstep.yml,C,51.747410877s,1053921280B
anderson.6.prop1-func-interl.yml,C,47.25546399s,513011712B
anderson.7.prop1-back-serstep.yml,C,50.799723923s,763576320B
anderson.7.prop1-func-interl.yml,C,46.845039095s,607514624B
anderson.8.prop1-back-serstep.yml,C,89.856939654s,1146286080B
anderson.8.prop1-func-interl.yml,C,30.485494804s,1020821504B
at.1.prop1-back-serstep.yml,C,41.503094247s,637059072B
at.1.prop1-func-interl.yml,C,32.936586178s,701329408B
at.2.prop1-back-serstep.yml,C,51.580792969s,485298176B
at.2.prop1-func-interl.yml,C,22.00834256s,789585920B
at.3.prop1-back-serstep.yml,C,70.229014447s,1167785984B
at.3.prop1-func-interl.yml,C,49.078535175s,736845824B
at.4.prop1-back-serstep.yml,C,39.870431742s,1072451584B
at.4.prop1-func-interl.yml,C,70.956174126s,1226838016B
at.5.prop1-back-serstep.yml,C,43.737879309s,1424416768B
at.5.prop1-func-interl.yml,C,74.809384378s,1257545728B
at.6.prop1-back-serstep.yml,C,34.496173368s,1468502016B
at.6.prop1-func-interl.yml,C,35.352531202s,1068281856B
at.7.prop1-back-serstep.yml,C,151.4117104s,1134272512B
at.7.prop1-func-interl.yml,C,86.756359623s,1725177856B
bakery.1.prop1-back-serstep.yml,C,20.081862083s,318705664B
bakery.1.prop1-func-interl.yml,C,18.031141238s,305926144B
bakery.2.prop1-back-serstep.yml,C,13.691954013s,310120448B
bakery.2.prop1-func-interl.yml,C,11.012515566s,298291200B
bakery.3.prop1-back-serstep.yml,C,28.643863614s,414978048B
bakery.3.prop1-func-interl.yml,C,22.09310597s,441221120B
bakery.4.prop1-back-serstep.yml,C,18.901700087s,472854528B
bakery.4.prop1-func-interl.yml,C,15.036893129s,449835008B
bakery.5.prop1-back-serstep.yml,C,47.8344546s,656756736B
bakery.5.prop1-func-interl.yml,C,19.038904149s,496537600B
bakery.6.prop1-back-serstep.yml,C,36.121383426s,595267584B
bakery.6.prop1-func-interl.yml,C,18.930284291s,547471360B
bakery.7.prop1-back-serstep.yml,C,44.632243068s,637657088B
bakery.7.prop1-func-interl.yml,C,16.761122426s,502345728B
bakery.8.prop1-back-serstep.yml,C,80.992180513s,642949120B
bakery.8.prop1-func-interl.yml,C,34.570394008s,470155264B
blocks.2.prop1-back-serstep.yml,C,40.886759274s,854224896B
blocks.2.prop1-func-interl.yml,C,25.740847504s,558444544B
blocks.3.prop1-back-serstep.yml,C,49.838937337s,2452185088B
blocks.3.prop1-func-interl.yml,C,29.340549235s,1003503616B
blocks.4.prop1-back-serstep.yml,C,145.053466647s,5805969408B
blocks.4.prop1-func-interl.yml,C,42.488598301s,1204473856B
bridge.1.prop1-back-serstep.yml,C,24.284091611s,655794176B
bridge.1.prop1-func-interl.yml,C,21.167762307s,722366464B
bridge.2.prop1-back-serstep.yml,C,100.25638966s,1405980672B
bridge.2.prop1-func-interl.yml,C,69.441376837s,980713472B
