Filename,Input Type,CPU Time,Memory
brp2.2.prop1-back-serstep.yml,BTOR2,12.571175402s,246870016B
brp2.2.prop1-func-interl.yml,BTOR2,8.547171554s,207425536B
brp2.2.prop2-back-serstep.yml,BTOR2,6.377876802s,302137344B
brp2.2.prop2-func-interl.yml,BTOR2,7.912570858s,207552512B
brp2.2.prop3-back-serstep.yml,BTOR2,10.584520437s,296431616B
brp2.2.prop3-func-interl.yml,BTOR2,12.656889778s,198238208B
brp2.3.prop1-back-serstep.yml,BTOR2,12.171882343s,305606656B
brp2.3.prop1-func-interl.yml,BTOR2,5.928610299s,205639680B
brp2.3.prop2-back-serstep.yml,BTOR2,7.577397093s,250150912B
brp2.3.prop2-func-interl.yml,BTOR2,10.962028136s,216281088B
brp2.3.prop3-back-serstep.yml,BTOR2,6.578250997s,250683392B
brp2.3.prop3-func-interl.yml,BTOR2,9.093695822s,213614592B
brp2.4.prop1-back-serstep.yml,BTOR2,6.788579737s,259653632B
brp2.4.prop1-func-interl.yml,BTOR2,5.384690064s,220696576B
brp2.4.prop2-back-serstep.yml,BTOR2,12.734485704s,253771776B
brp2.4.prop2-func-interl.yml,BTOR2,8.112953557s,204533760B
brp2.4.prop3-back-serstep.yml,BTOR2,7.195174823s,311119872B
brp2.4.prop3-func-interl.yml,BTOR2,6.522089262s,204636160B
brp2.5.prop1-back-serstep.yml,BTOR2,8.234693686s,245325824B
brp2.5.prop1-func-interl.yml,BTOR2,11.727671202s,214810624B
brp2.5.prop2-back-serstep.yml,BTOR2,6.296820422s,300404736B
brp2.5.prop2-func-interl.yml,BTOR2,9.027632056s,203223040B
brp2.5.prop3-back-serstep.yml,BTOR2,9.959121841s,254758912B
brp2.5.prop3-func-interl.yml,BTOR2,4.82102864s,196575232B
brp2.6.prop1-back-serstep.yml,BTOR2,7.879705486s,328450048B
brp2.6.prop1-func-interl.yml,BTOR2,6.711677395s,230408192B
brp2.6.prop2-back-serstep.yml,BTOR2,8.629292592s,245252096B
brp2.6.prop2-func-interl.yml,BTOR2,4.068622108s,233549824B
brp2.6.prop3-back-serstep.yml,BTOR2,15.016072661s,245743616B
brp2.6.prop3-func-interl.yml,BTOR2,9.060721794s,193466368B
cambridge.1.prop1-back-serstep.yml,BTOR2,15.226708293s,392114176B
cambridge.1.prop1-func-interl.yml,BTOR2,7.299882154s,285900800B
cambridge.1.prop2-back-serstep.yml,BTOR2,10.853355508s,528949248B
cambridge.1.prop2-func-interl.yml,BTOR2,6.472026363s,337076224B
cambridge.2.prop1-back-serstep.yml,BTOR2,15.852660932s,387174400B
cambridge.2.prop1-func-interl.yml,BTOR2,10.355724955s,279982080B
cambridge.2.prop2-back-serstep.yml,BTOR2,13.44158296s,351809536B
cambridge.2.prop2-func-interl.yml,BTOR2,6.543384754s,269303808B
cambridge.3.prop1-back-serstep.yml,BTOR2,12.4339621s,367665152B
cambridge.3.prop1-func-interl.yml,BTOR2,11.922895567s,367996928B
cambridge.3.prop2-back-serstep.yml,BTOR2,9.899022166s,343826432B
cambridge.3.prop2-func-interl.yml,BTOR2,11.275639155s,398295040B
cambridge.4.prop1-back-serstep.yml,BTOR2,11.038196078s,394887168B
cambridge.4.prop1-func-interl.yml,BTOR2,10.630635924s,362729472B
cambridge.4.prop2-back-serstep.yml,BTOR2,12.050101007s,429613056B
cambridge.4.prop2-func-interl.yml,BTOR2,12.344090279s,358977536B
cambridge.5.prop1-back-serstep.yml,BTOR2,20.244768558s,538451968B
cambridge.5.prop1-func-interl.yml,BTOR2,10.156911122s,391409664B
cambridge.5.prop2-back-serstep.yml,BTOR2,14.068099284s,598712320B
cambridge.5.prop2-func-interl.yml,BTOR2,15.72651108s,371732480B
cambridge.6.prop1-back-serstep.yml,BTOR2,16.719999253s,655003648B
cambridge.6.prop1-func-interl.yml,BTOR2,10.934055725s,490397696B
cambridge.6.prop2-back-serstep.yml,BTOR2,12.693028037s,898007040B
cambridge.6.prop2-func-interl.yml,BTOR2,10.800360462s,561086464B
cambridge.7.prop1-back-serstep.yml,BTOR2,19.852439971s,961904640B
cambridge.7.prop1-func-interl.yml,BTOR2,20.679936473s,531357696B
cambridge.7.prop2-back-serstep.yml,BTOR2,30.997172335s,649170944B
cambridge.7.prop2-func-interl.yml,BTOR2,21.840272187s,584212480B
collision.1.prop1-back-serstep.yml,BTOR2,7.884142822s,224014336B
collision.1.prop1-func-interl.yml,BTOR2,5.586459204s,195584000B
collision.2.prop1-back-serstep.yml,BTOR2,9.588214765s,204021760B
collision.2.prop1-func-interl.yml,BTOR2,8.519412618s,220971008B
collision.3.prop1-back-serstep.yml,BTOR2,6.305832129s,252157952B
collision.3.prop1-func-interl.yml,BTOR2,8.647546153s,183443456B
collision.4.prop1-back-serstep.yml,BTOR2,11.728368917s,298872832B
collision.4.prop1-func-interl.yml,BTOR2,7.076880363s,276549632B
collision.5.prop1-back-serstep.yml,BTOR2,7.74464475s,320700416B
collision.5.prop1-func-interl.yml,BTOR2,7.096962307s,239177728B
collision.6.prop1-back-serstep.yml,BTOR2,10.394432288s,378585088B
collision.6.prop1-func-interl.yml,BTOR2,11.571841324s,311996416B
cyclic_scheduler.1.prop1-back-serstep.yml,BTOR2,11.131080208s,311025664B
cyclic_scheduler.1.prop1-func-interl.yml,BTOR2,7.057103159s,318324736B
cyclic_scheduler.2.prop1-back-serstep.yml,BTOR2,5.08705842s,214458368B
cyclic_scheduler.2.prop1-func-interl.yml,BTOR2,7.483884331s,206413824B
cyclic_scheduler.3.prop1-back-serstep.yml,BTOR2,9.059662946s,459141120B
cyclic_scheduler.3.prop1-func-interl.yml,BTOR2,13.342116705s,346447872B
cyclic_scheduler.4.prop1-back-serstep.yml,BTOR2,7.098627021s,384868352B
cyclic_scheduler.4.prop1-func-interl.yml,BTOR2,7.091906506s,270229504B
driving_phils.1.prop1-back-serstep.yml,BTOR2,6.307024762s,311062528B
driving_phils.1.prop1-func-interl.yml,BTOR2,8.999180563s,198004736B
driving_phils.2.prop1-back-serstep.yml,BTOR2,8.027143122s,327368704B
driving_phils.2.prop1-func-interl.yml,BTOR2,5.701975788s,183377920B
driving_phils.3.prop1-back-serstep.yml,BTOR2,10.363099904s,360083456B
driving_phils.3.prop1-func-interl.yml,BTOR2,12.31786106s,240889856B
driving_phils.4.prop1-back-serstep.yml,BTOR2,6.753095479s,418607104B
driving_phils.4.prop1-func-interl.yml,BTOR2,7.608161564s,242405376B
driving_phils.5.prop1-back-serstep.yml,BTOR2,7.962688987s,477384704B
driving_phils.5.prop1-func-interl.yml,BTOR2,7.105842814s,237219840B
elevator.1.prop1-back-serstep.yml,BTOR2,7.04487669s,220463104B
elevator.1.prop1-func-interl.yml,BTOR2,4.889617525s,192385024B
elevator.2.prop1-back-serstep.yml,BTOR2,5.381907608s,255016960B
elevator.2.prop1-func-interl.yml,BTOR2,5.753345962s,212553728B
elevator.3.prop1-back-serstep.yml,BTOR2,6.926683303s,282042368B
elevator.3.prop1-func-interl.yml,BTOR2,7.353585161s,242511872B
elevator.4.prop1-back-serstep.yml,BTOR2,6.449479357s,266051584B
elevator.4.prop1-func-interl.yml,BTOR2,10.771030474s,266022912B
elevator.5.prop1-back-serstep.yml,BTOR2,10.653063049s,381018112B
elevator.5.prop1-func-interl.yml,BTOR2,13.526821384s,444624896B
elevator_planning.1.prop1-back-serstep.yml,BTOR2,8.072020702s,222793728B
elevator_planning.1.prop1-func-interl.yml,BTOR2,4.930662644s,186920960B
elevator_planning.2.prop1-back-serstep.yml,BTOR2,7.077569034s,255496192B
elevator_planning.2.prop1-func-interl.yml,BTOR2,4.431450418s,204070912B
elevator_planning.3.prop1-back-serstep.yml,BTOR2,7.73830163s,190992384B
elevator_planning.3.prop1-func-interl.yml,BTOR2,3.826904443s,210677760B
exit.1.prop1-back-serstep.yml,BTOR2,6.334494192s,264867840B
exit.1.prop1-func-interl.yml,BTOR2,5.124422588s,196608000B
exit.2.prop1-back-serstep.yml,BTOR2,7.931637345s,380731392B
exit.2.prop1-func-interl.yml,BTOR2,8.978488298s,411004928B
exit.3.prop1-back-serstep.yml,BTOR2,16.113322688s,356696064B
exit.3.prop1-func-interl.yml,BTOR2,8.529097507s,389767168B
exit.4.prop1-back-serstep.yml,BTOR2,11.650521717s,332005376B
exit.4.prop1-func-interl.yml,BTOR2,14.918904273s,380424192B
exit.5.prop1-back-serstep.yml,BTOR2,14.575935596s,625774592B
exit.5.prop1-func-interl.yml,BTOR2,18.538828252s,426831872B
extinction.1.prop1-back-serstep.yml,BTOR2,16.518031584s,454512640B
extinction.1.prop1-func-interl.yml,BTOR2,16.965868312s,329789440B
extinction.2.prop1-back-serstep.yml,BTOR2,14.96033339s,745250816B
extinction.2.prop1-func-interl.yml,BTOR2,19.747679163s,496865280B
extinction.3.prop1-back-serstep.yml,BTOR2,23.910734808s,557793280B
extinction.3.prop1-func-interl.yml,BTOR2,12.289196214s,576036864B
extinction.4.prop1-back-serstep.yml,BTOR2,13.429816597s,730968064B
extinction.4.prop1-func-interl.yml,BTOR2,24.729328596s,589926400B
firewire_tree.1.prop1-back-serstep.yml,BTOR2,145.518149597s,1179189248B
firewire_tree.1.prop1-func-interl.yml,BTOR2,120.139756043s,1201864704B
