Filename,Input Type,Algorithm,CPU Time,Memory
schedule_world.3.prop1-func-interl.yml,BTOR2,K-Induction,25.054488005s,789889024B
count2.yml,BTOR2,K-Induction,4.626868505s,147038208B
count4.yml,BTOR2,K-Induction,5.503736669s,149872640B
factorial4even.yml,BTOR2,K-Induction,12.368947262s,216944640B
recount4.yml,BTOR2,K-Induction,23.712100987s,183742464B
twocount2.yml,BTOR2,K-Induction,8.247549326s,158396416B
twocount32.yml,BTOR2,K-Induction,5.212500513s,193699840B
Huffman_dec.yml,BTOR2,K-Induction,7.096850533s,233881600B
Huffman_enc.yml,BTOR2,K-Induction,7.296087355s,194428928B
stack-p1.yml,BTOR2,K-Induction,147.152551463s,1731063808B
stack-p2.yml,BTOR2,K-Induction,69.70702725s,1309327360B
driving_phils.2.prop1-func-interl.yml,C,K-Induction,792.417413615s,6605983744B
lup.1.prop1-func-interl.yml,C,K-Induction,103.867247869s,4619395072B
lup.2.prop1-func-interl.yml,C,K-Induction,355.143319684s,5413941248B
lup.4.prop1-func-interl.yml,C,K-Induction,764.422065793s,5769695232B
production_cell.1.prop1-func-interl.yml,C,K-Induction,721.797791546s,6137380864B
resistance.1.prop1-func-interl.yml,C,K-Induction,50.708936467s,2710970368B
resistance.1.prop2-func-interl.yml,C,K-Induction,47.36078817s,2953736192B
resistance.1.prop3-func-interl.yml,C,K-Induction,43.80170677s,2923646976B
resistance.2.prop2-func-interl.yml,C,K-Induction,85.980495299s,3584425984B
resistance.2.prop3-func-interl.yml,C,K-Induction,92.021997925s,3342794752B
count2.yml,C,K-Induction,7.083774951s,234086400B
count4.yml,C,K-Induction,11.389801747s,252960768B
factorial4even.yml,C,K-Induction,28.061268488s,409821184B
recount4.yml,C,K-Induction,185.131280116s,500379648B
twocount2.yml,C,K-Induction,19.344716842s,328695808B
twocount32.yml,C,K-Induction,23.556829177s,394833920B
Huffman_dec.yml,C,K-Induction,29.709001796s,735268864B
Huffman_enc.yml,C,K-Induction,9.127373897s,382353408B
